station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,climo_high_f,climo_low_f,climo_precip_in
NYC,2005-01-01,60.0,40.0,44.0,40.0,0.0,8.10692,302.166,39.609,58.0584,74.0964,38.9,27.9,0.12
NYC,2005-01-02,50.0,37.0,43.0,37.0,0.0,7.61269,94.9093,52.5634,66.3485,79.8568,38.8,27.7,0.12
NYC,2005-01-03,58.0,49.0,50.0,49.0,0.43,5.29977,256.082,63.9715,79.8845,96.0715,38.7,27.6,0.12
NYC,2005-01-04,51.0,46.0,48.0,46.0,0.1,3.27463,18.2802,63.2187,80.3418,96.6859,38.5,27.4,0.12
NYC,2005-01-05,46.0,36.0,38.0,36.0,0.28,5.55136,42.6424,70.2012,81.6699,89.1558,38.4,27.3,0.12
NYC,2005-01-06,41.0,34.0,38.0,34.0,0.63,7.57442,65.2664,88.4165,90.8339,92.5558,38.3,27.2,0.13
NYC,2005-01-07,41.0,36.0,36.0,36.0,0.0,6.53173,290.186,44.1777,58.0364,89.2472,38.2,27.1,0.12
NYC,2005-01-08,40.0,35.0,38.0,35.0,0.59,4.72648,24.9618,81.6528,87.4294,92.5558,38.2,27.0,0.11
NYC,2005-01-09,39.0,33.0,32.0,33.0,0.0,5.28665,358.632,47.892,64.939,81.8013,38.1,26.9,0.13
NYC,2005-01-10,47.0,39.0,36.0,39.0,0.0,8.43764,250.101,55.0236,66.3462,82.0931,38.0,26.8,0.12
NYC,2005-01-11,39.0,35.0,34.0,35.0,0.25,6.61635,41.9642,54.5142,73.4999,95.7869,38.0,26.8,0.12
NYC,2005-01-12,39.0,36.0,39.0,36.0,0.12,9.0,62.6703,92.4268,96.8521,100.0,38.0,26.7,0.13
NYC,2005-01-13,58.0,38.0,56.0,38.0,0.0,5.40042,110.98,89.0836,95.5321,100.0,37.9,26.7,0.12
NYC,2005-01-14,66.0,34.0,60.0,34.0,1.03,8.65199,277.222,49.6173,74.3935,93.134,37.9,26.6,0.12
NYC,2005-01-15,33.0,27.0,18.0,27.0,0.0,4.32385,358.173,40.9882,48.15,54.9544,37.9,26.6,0.13
NYC,2005-01-16,31.0,27.0,15.0,27.0,0.0,7.89937,35.4729,29.8975,44.4039,60.4129,37.9,26.6,0.12
NYC,2005-01-17,28.0,18.0,20.0,18.0,0.03,8.61269,310.276,34.7032,59.9147,80.8692,37.9,26.6,0.12
NYC,2005-01-18,18.0,9.0,6.0,9.0,0.0,10.0776,301.137,28.2241,40.8137,59.1029,38.0,26.5,0.11
NYC,2005-01-19,25.0,9.0,25.0,9.0,0.03,5.91614,241.359,45.2848,71.4119,100.0,38.0,26.6,0.12
NYC,2005-01-20,30.0,20.0,14.0,20.0,0.0,8.05263,279.404,37.1741,48.2179,57.6261,38.0,26.6,0.11
NYC,2005-01-21,20.0,9.0,2.0,9.0,0.0,7.42446,319.0,25.4168,36.4407,46.6407,38.1,26.6,0.12
NYC,2005-01-22,25.0,6.0,22.0,6.0,0.93,9.55765,55.7076,44.3765,71.4602,91.9807,38.2,26.6,0.12
NYC,2005-01-23,25.0,9.0,18.0,9.0,0.14,11.0545,333.254,38.957,59.7865,84.4667,38.2,26.6,0.11
NYC,2005-01-24,23.0,8.0,13.0,8.0,0.0,9.32914,274.356,41.0934,63.6672,76.658,38.3,26.7,0.11
NYC,2005-01-25,33.0,20.0,19.0,20.0,0.0,5.40042,274.601,32.8514,51.9789,65.5799,38.4,26.7,0.11
NYC,2005-01-26,37.0,17.0,32.0,17.0,0.01,5.77778,358.873,55.6565,72.303,85.3664,38.5,26.8,0.11
NYC,2005-01-27,18.0,9.0,3.0,9.0,0.0,9.59698,0.941905,30.488,43.0195,58.186,38.6,26.8,0.11
NYC,2005-01-28,22.0,5.0,3.0,5.0,0.0,4.44444,9.74892,29.6091,42.8529,56.6202,38.7,26.9,0.11
NYC,2005-01-29,33.0,16.0,14.0,16.0,0.0,4.69602,250.754,32.8514,43.6002,58.3223,38.8,27.0,0.11
NYC,2005-01-30,37.0,25.0,27.0,25.0,0.02,6.26834,6.70505,47.7459,75.1245,100.0,38.9,27.0,0.11
NYC,2005-01-31,35.0,24.0,22.0,24.0,0.0,6.36478,29.1403,49.2993,65.9985,84.6695,39.0,27.1,0.12
NYC,2005-02-01,40.0,26.0,31.0,26.0,0.0,2.19706,13.7079,35.9463,67.7782,91.6603,39.1,27.2,0.11
NYC,2005-02-02,40.0,28.0,25.0,28.0,0.0,4.5283,42.9755,43.9983,57.0788,74.6075,39.3,27.3,0.11
NYC,2005-02-03,41.0,30.0,37.0,30.0,0.01,7.34801,50.8793,54.813,82.1927,100.0,39.4,27.4,0.11
NYC,2005-02-04,45.0,34.0,34.0,34.0,0.27,6.40732,13.4141,29.0528,68.2777,100.0,39.6,27.5,0.1
NYC,2005-02-05,52.0,39.0,27.0,39.0,0.0,5.413,3.87229,30.5345,40.1798,52.8671,39.7,27.6,0.11
NYC,2005-02-06,51.0,40.0,30.0,40.0,0.0,4.25157,42.787,32.9294,47.4725,64.68,39.9,27.7,0.11
NYC,2005-02-07,52.0,38.0,34.0,38.0,0.0,3.16771,54.6833,26.524,50.8948,81.9481,40.0,27.8,0.11
NYC,2005-02-08,52.0,41.0,39.0,41.0,0.0,3.77358,263.765,29.5585,49.9103,70.8559,40.2,27.9,0.11
NYC,2005-02-09,53.0,46.0,47.0,46.0,0.03,4.174,160.725,71.396,85.6809,100.0,40.4,28.0,0.1
NYC,2005-02-10,45.0,30.0,45.0,30.0,0.1,8.84696,293.299,51.325,75.6763,100.0,40.6,28.2,0.11
NYC,2005-02-11,39.0,29.0,17.0,29.0,0.0,11.5681,310.909,25.9683,37.7935,58.0786,40.8,28.3,0.1
NYC,2005-02-12,42.0,31.0,31.0,31.0,0.0,8.21384,275.17,46.2332,60.7793,75.5847,41.0,28.4,0.11
NYC,2005-02-13,41.0,32.0,28.0,32.0,0.0,7.16193,317.181,29.9539,41.9657,69.6297,41.1,28.6,0.1
NYC,2005-02-14,48.0,32.0,48.0,32.0,0.92,8.13786,11.8267,45.4307,82.5347,100.0,41.3,28.7,0.11
NYC,2005-02-15,56.0,46.0,50.0,46.0,0.16,9.85434,304.762,52.9087,70.7865,100.0,41.6,28.8,0.1
